ICD10,CC,MCE_AGE_CONDITION,AGE_EDIT_CONDITION,SEX_EDIT_CONDITION,valid_ICD10_2025,valid_ICD10_2026
C479,10.0,,,,True,True
C480,9.0,,,,True,True
C481,9.0,,,,True,True
C482,9.0,,,,True,True
C488,9.0,,,,True,True
C490,10.0,,,,True,True
C4910,10.0,,,,True,True
C4911,10.0,,,,True,True
C4912,10.0,,,,True,True
C4920,10.0,,,,True,True
C4921,10.0,,,,True,True
C4922,10.0,,,,True,True
C493,10.0,,,,True,True
C494,10.0,,,,True,True
C495,10.0,,,,True,True
C496,10.0,,,,True,True
C498,10.0,,,,True,True
C499,10.0,,,,True,True
C49A0,10.0,,,,True,True
C49A1,10.0,,,,True,True
C49A2,10.0,,,,True,True
C49A3,10.0,,,,True,True
C49A4,10.0,,,,True,True
C49A5,10.0,,,,True,True
C49A9,10.0,,,,True,True
C4A0,12.0,,,,True,True
C4A10,12.0,,,,True,True
C4A111,12.0,,,,True,True
C4A112,12.0,,,,True,True
C4A121,12.0,,,,True,True
C4A122,12.0,,,,True,True
C4A20,12.0,,,,True,True
C4A21,12.0,,,,True,True
C4A22,12.0,,,,True,True
C4A30,12.0,,,,True,True
C4A31,12.0,,,,True,True
C4A39,12.0,,,,True,True
C4A4,12.0,,,,True,True
C4A51,12.0,,,,True,True
C4A52,12.0,,,,True,True
C4A59,12.0,,,,True,True
C4A60,12.0,,,,True,True
C4A61,12.0,,,,True,True
C4A62,12.0,,,,True,True
C4A70,12.0,,,,True,True
C4A71,12.0,,,,True,True
C4A72,12.0,,,,True,True
C4A8,12.0,,,,True,True
C4A9,12.0,,,,True,True
C50011,11.0,,age < 50,,True,True
C50011,12.0,,age >= 50,,True,True
C50012,11.0,,age < 50,,True,True
C50012,12.0,,age >= 50,,True,True
C50019,11.0,,age < 50,,True,True
C50019,12.0,,age >= 50,,True,True
C50021,11.0,,age < 50,,True,True
C50021,12.0,,age >= 50,,True,True
C50022,11.0,,age < 50,,True,True
C50022,12.0,,age >= 50,,True,True
C50029,11.0,,age < 50,,True,True
C50029,12.0,,age >= 50,,True,True
C50111,11.0,,age < 50,,True,True
C50111,12.0,,age >= 50,,True,True
C50112,11.0,,age < 50,,True,True
C50112,12.0,,age >= 50,,True,True
C50119,11.0,,age < 50,,True,True
C50119,12.0,,age >= 50,,True,True
C50121,11.0,,age < 50,,True,True
C50121,12.0,,age >= 50,,True,True
C50122,11.0,,age < 50,,True,True
C50122,12.0,,age >= 50,,True,True
C50129,11.0,,age < 50,,True,True
C50129,12.0,,age >= 50,,True,True
C50211,11.0,,age < 50,,True,True
C50211,12.0,,age >= 50,,True,True
C50212,11.0,,age < 50,,True,True
C50212,12.0,,age >= 50,,True,True
C50219,11.0,,age < 50,,True,True
C50219,12.0,,age >= 50,,True,True
C50221,11.0,,age < 50,,True,True
C50221,12.0,,age >= 50,,True,True
C50222,11.0,,age < 50,,True,True
C50222,12.0,,age >= 50,,True,True
C50229,11.0,,age < 50,,True,True
C50229,12.0,,age >= 50,,True,True
C50311,11.0,,age < 50,,True,True
C50311,12.0,,age >= 50,,True,True
C50312,11.0,,age < 50,,True,True
C50312,12.0,,age >= 50,,True,True
C50319,11.0,,age < 50,,True,True
C50319,12.0,,age >= 50,,True,True
C50321,11.0,,age < 50,,True,True
C50321,12.0,,age >= 50,,True,True
C50322,11.0,,age < 50,,True,True
C50322,12.0,,age >= 50,,True,True
C50329,11.0,,age < 50,,True,True
C50329,12.0,,age >= 50,,True,True
C50411,11.0,,age < 50,,True,True
C50411,12.0,,age >= 50,,True,True
C50412,11.0,,age < 50,,True,True
C50412,12.0,,age >= 50,,True,True
C50419,11.0,,age < 50,,True,True
C50419,12.0,,age >= 50,,True,True
C50421,11.0,,age < 50,,True,True
C50421,12.0,,age >= 50,,True,True
C50422,11.0,,age < 50,,True,True
C50422,12.0,,age >= 50,,True,True
C50429,11.0,,age < 50,,True,True
C50429,12.0,,age >= 50,,True,True
C50511,11.0,,age < 50,,True,True
C50511,12.0,,age >= 50,,True,True
C50512,11.0,,age < 50,,True,True
C50512,12.0,,age >= 50,,True,True
C50519,11.0,,age < 50,,True,True
C50519,12.0,,age >= 50,,True,True
C50521,11.0,,age < 50,,True,True
C50521,12.0,,age >= 50,,True,True
C50522,11.0,,age < 50,,True,True
C50522,12.0,,age >= 50,,True,True
C50529,11.0,,age < 50,,True,True
C50529,12.0,,age >= 50,,True,True
C50611,11.0,,age < 50,,True,True
C50611,12.0,,age >= 50,,True,True
C50612,11.0,,age < 50,,True,True
C50612,12.0,,age >= 50,,True,True
C50619,11.0,,age < 50,,True,True
C50619,12.0,,age >= 50,,True,True
C50621,11.0,,age < 50,,True,True
C50621,12.0,,age >= 50,,True,True
C50622,11.0,,age < 50,,True,True
C50622,12.0,,age >= 50,,True,True
C50629,11.0,,age < 50,,True,True
C50629,12.0,,age >= 50,,True,True
C50811,11.0,,age < 50,,True,True
C50811,12.0,,age >= 50,,True,True
C50812,11.0,,age < 50,,True,True
C50812,12.0,,age >= 50,,True,True
C50819,11.0,,age < 50,,True,True
C50819,12.0,,age >= 50,,True,True
C50821,11.0,,age < 50,,True,True
C50821,12.0,,age >= 50,,True,True
C50822,11.0,,age < 50,,True,True
C50822,12.0,,age >= 50,,True,True
C50829,11.0,,age < 50,,True,True
C50829,12.0,,age >= 50,,True,True
C50911,11.0,,age < 50,,True,True
C50911,12.0,,age >= 50,,True,True
C50912,11.0,,age < 50,,True,True
C50912,12.0,,age >= 50,,True,True
C50919,11.0,,age < 50,,True,True
