Variable,Platinum Level,Gold Level,Silver Level,Bronze Level,Catastrophic Level
SEVERE_HCC_COUNT10PLUS,7.398,8.299,8.836,9.657,9.679
TRANSPLANT_HCC_COUNT4,3.792,3.704,3.651,3.531,3.516
TRANSPLANT_HCC_COUNT5,7.054,6.949,6.906,6.792,6.775
TRANSPLANT_HCC_COUNT6,12.584,12.463,12.431,12.324,12.304
TRANSPLANT_HCC_COUNT7,15.636,15.506,15.473,15.364,15.346
TRANSPLANT_HCC_COUNT8PLUS,31.955,31.916,31.908,31.845,31.825
HCC_ED1,11.208,9.742,8.808,7.844,7.818
HCC_ED2,5.197,4.458,3.958,3.479,3.466
HCC_ED3,3.378,2.898,2.549,2.224,2.216
HCC_ED4,2.129,1.799,1.545,1.313,1.307
HCC_ED5,1.586,1.34,1.143,0.959,0.955
HCC_ED6,1.039,0.857,0.705,0.56,0.556
RXC_01,5.097,4.612,4.345,3.92,3.908
RXC_02,8.273,7.809,7.812,7.711,7.714
RXC_03,0.08,0.072,0.064,0.051,0.036
RXC_04,0.901,1.115,1.007,1.206,1.39
RXC_05,1.324,1.227,1.105,0.941,0.936
RXC_06,1.366,1.193,1.018,0.844,0.838
RXC_07,0.8,0.702,0.582,0.409,0.403
RXC_08,15.175,14.409,14.206,13.774,13.767
RXC_09,12.005,11.495,11.478,11.335,11.337
RXC_10,17.441,17.041,17.022,16.903,16.902
RXC_01_X_HCC001,2.467,2.521,2.79,3.101,3.115
RXC_02_X_HCC037_1_036_035_2_035_1_034,-0.514,-0.454,-0.403,-0.348,-0.347
RXC_03_X_HCC142,0.0,0.0,0.0,0.0,0.0
RXC_04_X_HCC184_183_187_188,0.0,0.0,0.0,0.0,0.0
RXC_05_X_HCC048_041,-0.688,-0.631,-0.57,-0.471,-0.468
RXC_06_X_HCC018_019_020_021,0.402,0.444,0.532,0.544,0.546
RXC_07_X_HCC018_019_020_021,-0.258,-0.213,-0.172,-0.13,-0.128
RXC_08_X_HCC118,-0.132,0.227,0.497,0.902,0.914
RXC_09_X_HCC056_057_AND_048_041,0.343,0.396,0.433,0.492,0.494
RXC_09_X_HCC056,-1.082,-0.993,-0.93,-0.845,-0.843
RXC_09_X_HCC057,-0.399,-0.329,-0.249,-0.146,-0.142
RXC_09_X_HCC048_041,1.315,1.406,1.499,1.634,1.638
RXC_10_X_HCC159_158,42.562,42.609,42.695,42.807,42.812
